,time,longitude,latitude
0,15:24:05,107.306,3.72198
1,15:24:10,107.296,3.71785
2,15:24:15,107.286,3.71373
3,15:24:20,107.277,3.7096
4,15:24:25,107.267,3.70548
5,15:24:30,107.257,3.70136
6,15:24:35,107.248,3.69723
7,15:24:40,107.238,3.69311
8,15:24:45,107.228,3.68898
9,15:24:50,107.218,3.68486
10,15:24:55,107.209,3.68073
11,15:25:00,107.199,3.67661
12,15:25:05,107.189,3.67249
13,15:25:10,107.179,3.66836
14,15:25:15,107.17,3.66424
15,15:25:20,107.16,3.66011
16,15:25:25,107.15,3.65599
17,15:25:30,107.141,3.65187
18,15:25:35,107.131,3.64774
19,15:25:40,107.121,3.64362
20,15:25:45,107.111,3.63949
21,15:25:50,107.102,3.63537
22,15:25:55,107.092,3.63124
23,15:26:00,107.082,3.62712
24,15:26:05,107.072,3.623
25,15:26:10,107.063,3.61887
26,15:26:15,107.053,3.61475
27,15:26:20,107.043,3.61062
28,15:26:25,107.034,3.6065
29,15:26:30,107.024,3.60238
30,15:26:35,107.014,3.59825
31,15:26:40,107.004,3.59413
32,15:26:45,106.995,3.59
33,15:26:50,106.985,3.58588
34,15:26:55,106.975,3.58175
35,15:27:00,106.965,3.57763
36,15:27:05,106.956,3.57351
37,15:27:10,106.946,3.56938
38,15:27:15,106.936,3.56526
39,15:27:20,106.927,3.56113
40,15:27:25,106.917,3.55734
41,15:27:30,106.907,3.55355
42,15:27:35,106.897,3.54975
43,15:27:40,106.887,3.54596
44,15:27:45,106.877,3.54217
45,15:27:50,106.867,3.53837
46,15:27:55,106.858,3.53458
47,15:28:00,106.848,3.53079
48,15:28:05,106.838,3.52699
49,15:28:10,106.828,3.5232
50,15:28:15,106.818,3.51941
51,15:28:20,106.808,3.51561
52,15:28:25,106.798,3.51182
53,15:28:30,106.788,3.50803
54,15:28:35,106.779,3.50423
55,15:28:40,106.769,3.50044
56,15:28:45,106.759,3.49665
57,15:28:50,106.749,3.49285
58,15:28:55,106.739,3.48906
59,15:29:00,106.729,3.48527
60,15:29:05,106.719,3.48147
61,15:29:10,106.71,3.47768
62,15:29:15,106.7,3.47389
63,15:29:20,106.69,3.47009
64,15:29:25,106.68,3.4663
65,15:29:30,106.67,3.46251
66,15:29:35,106.66,3.45871
67,15:29:40,106.65,3.45492
68,15:29:45,106.641,3.45113
69,15:29:50,106.631,3.44733
70,15:29:55,106.621,3.44354
71,15:30:00,106.611,3.43975
72,15:30:05,106.601,3.43595
73,15:30:10,106.591,3.43216
74,15:30:15,106.581,3.42837
75,15:30:20,106.571,3.42457
76,15:30:25,106.562,3.42078
77,15:30:30,106.552,3.41699
78,15:30:35,106.542,3.41319
79,15:30:40,106.532,3.4094
80,15:30:45,106.522,3.40561
81,15:30:50,106.512,3.40181
82,15:30:55,106.502,3.39802
83,15:31:00,106.493,3.39423
84,15:31:05,106.483,3.39043
85,15:31:10,106.473,3.38664
86,15:31:15,106.463,3.38285
87,15:31:20,106.453,3.37905
88,15:31:25,106.443,3.37526
89,15:31:30,106.433,3.37147
90,15:31:35,106.424,3.36767
91,15:31:40,106.414,3.36388
92,15:31:45,106.404,3.36009
93,15:31:50,106.394,3.35629
94,15:31:55,106.384,3.3525
95,15:32:00,106.374,3.34872
96,15:32:05,106.364,3.34494
97,15:32:10,106.355,3.34116
98,15:32:15,106.345,3.33737
99,15:32:20,106.335,3.33359
100,15:32:25,106.325,3.32981
101,15:32:30,106.315,3.32603
102,15:32:35,106.305,3.32225
103,15:32:40,106.295,3.31847
104,15:32:45,106.286,3.31469
105,15:32:50,106.276,3.31091
106,15:32:55,106.266,3.30712
107,15:33:00,106.256,3.30334
108,15:33:05,106.246,3.29956
109,15:33:10,106.236,3.29578
110,15:33:15,106.226,3.292
111,15:33:20,106.216,3.28822
112,15:33:25,106.207,3.28444
113,15:33:30,106.197,3.28065
114,15:33:35,106.187,3.27687
115,15:33:40,106.177,3.27309
116,15:33:45,106.167,3.26931
117,15:33:50,106.157,3.26553
118,15:33:55,106.148,3.26059
119,15:34:00,106.139,3.25456
120,15:34:05,106.131,3.24754
121,15:34:10,106.124,3.23961
122,15:34:15,106.118,3.23091
123,15:34:20,106.113,3.22178
124,15:34:25,106.108,3.21264
125,15:34:30,106.103,3.20351
126,15:34:35,106.097,3.19437
127,15:34:40,106.092,3.18524
128,15:34:45,106.087,3.1761
129,15:34:50,106.081,3.16697
130,15:34:55,106.076,3.15783
131,15:35:00,106.071,3.1487
132,15:35:05,106.066,3.13956
133,15:35:10,106.06,3.13043
134,15:35:15,106.055,3.12129
135,15:35:20,106.05,3.11216
136,15:35:25,106.045,3.10302
137,15:35:30,106.039,3.09389
138,15:35:35,106.034,3.08475
139,15:35:40,106.029,3.07562
140,15:35:45,106.023,3.06649
141,15:35:50,106.018,3.05735
142,15:35:55,106.013,3.04822
143,15:36:00,106.008,3.03908
144,15:36:05,106.002,3.02995
145,15:36:10,105.997,3.02081
146,15:36:15,105.992,3.01168
147,15:36:20,105.986,3.00254
148,15:36:25,105.981,2.99341
149,15:36:30,105.976,2.98427
150,15:36:35,105.971,2.97514
151,15:36:40,105.965,2.966
152,15:36:45,105.96,2.95687
153,15:36:50,105.954,2.94844
154,15:36:55,105.946,2.94083
155,15:37:00,105.938,2.93415
156,15:37:05,105.929,2.92851
157,15:37:10,105.92,2.92399
158,15:37:15,105.91,2.92065
159,15:37:20,105.899,2.91853
160,15:37:25,105.889,2.91662
161,15:37:30,105.879,2.9147
162,15:37:35,105.868,2.9128
163,15:37:40,105.858,2.91089
164,15:37:45,105.847,2.90899
165,15:37:50,105.837,2.90708
166,15:37:55,105.827,2.90518
167,15:38:00,105.816,2.90326
168,15:38:05,105.806,2.90136
169,15:38:10,105.796,2.89945
170,15:38:15,105.785,2.89755
171,15:38:20,105.775,2.89564
172,15:38:25,105.764,2.89374
173,15:38:30,105.754,2.89184
174,15:38:35,105.744,2.88993
175,15:38:40,105.733,2.88803
176,15:38:45,105.723,2.88613
177,15:38:50,105.712,2.88421
178,15:38:55,105.702,2.88229
179,15:39:00,105.692,2.88038
180,15:39:05,105.681,2.87846
181,15:39:10,105.671,2.87655
