,time,longitude,latitude
0,15:18:40,106.403,4.57203
1,15:18:45,106.397,4.56325
2,15:18:50,106.391,4.55448
3,15:18:55,106.385,4.5457
4,15:19:00,106.379,4.53692
5,15:19:05,106.373,4.52814
6,15:19:10,106.368,4.51936
7,15:19:15,106.362,4.51058
8,15:19:20,106.356,4.5018
9,15:19:25,106.35,4.49302
10,15:19:30,106.344,4.48424
11,15:19:35,106.338,4.47547
12,15:19:40,106.332,4.46669
13,15:19:45,106.326,4.45791
14,15:19:50,106.321,4.44913
15,15:19:55,106.315,4.44035
16,15:20:00,106.309,4.43157
17,15:20:05,106.303,4.42279
18,15:20:10,106.297,4.41401
19,15:20:15,106.291,4.40523
20,15:20:20,106.285,4.39646
21,15:20:25,106.28,4.38768
22,15:20:30,106.274,4.3789
23,15:20:35,106.268,4.37012
24,15:20:40,106.262,4.36134
25,15:20:45,106.256,4.35256
26,15:20:50,106.25,4.34378
27,15:20:55,106.244,4.335
28,15:21:00,106.238,4.32622
29,15:21:05,106.233,4.31744
30,15:21:10,106.228,4.30803
31,15:21:15,106.224,4.2981
32,15:21:20,106.222,4.28782
33,15:21:25,106.221,4.27733
34,15:21:30,106.221,4.26679
35,15:21:35,106.222,4.25628
36,15:21:40,106.223,4.2458
37,15:21:45,106.224,4.23534
38,15:21:50,106.226,4.22491
39,15:21:55,106.228,4.21449
40,15:22:00,106.229,4.20408
41,15:22:05,106.231,4.19368
42,15:22:10,106.233,4.18331
43,15:22:15,106.235,4.17294
44,15:22:20,106.237,4.16257
45,15:22:25,106.239,4.15221
46,15:22:30,106.241,4.14184
47,15:22:35,106.243,4.13147
48,15:22:40,106.245,4.1211
49,15:22:45,106.247,4.11073
50,15:22:50,106.249,4.10036
51,15:22:55,106.251,4.08999
52,15:23:00,106.252,4.07963
53,15:23:05,106.254,4.06926
54,15:23:10,106.256,4.05889
55,15:23:15,106.258,4.04852
56,15:23:20,106.26,4.03815
57,15:23:25,106.262,4.02778
58,15:23:30,106.263,4.01726
59,15:23:35,106.262,4.00672
60,15:23:40,106.26,3.99634
61,15:23:45,106.257,3.98626
62,15:23:50,106.253,3.97663
63,15:23:55,106.248,3.96758
64,15:24:00,106.241,3.95925
65,15:24:05,106.234,3.95176
66,15:24:10,106.225,3.94498
67,15:24:15,106.217,3.9382
68,15:24:20,106.209,3.93142
69,15:24:25,106.201,3.92464
70,15:24:30,106.193,3.91786
71,15:24:35,106.185,3.91108
72,15:24:40,106.177,3.9043
73,15:24:45,106.169,3.89752
74,15:24:50,106.161,3.89074
75,15:24:55,106.153,3.88396
76,15:25:00,106.144,3.87718
77,15:25:05,106.136,3.8704
78,15:25:10,106.128,3.86362
79,15:25:15,106.12,3.85684
80,15:25:20,106.112,3.85006
81,15:25:25,106.104,3.84328
82,15:25:30,106.097,3.83558
83,15:25:35,106.091,3.82706
84,15:25:40,106.085,3.81786
85,15:25:45,106.081,3.8081
86,15:25:50,106.079,3.79793
87,15:25:55,106.077,3.7875
88,15:26:00,106.077,3.77695
89,15:26:05,106.078,3.76645
90,15:26:10,106.08,3.75614
91,15:26:15,106.083,3.74618
92,15:26:20,106.088,3.73662
93,15:26:25,106.092,3.72706
94,15:26:30,106.097,3.7175
95,15:26:35,106.101,3.70794
96,15:26:40,106.106,3.69838
97,15:26:45,106.11,3.68882
98,15:26:50,106.115,3.67926
99,15:26:55,106.119,3.6697
100,15:27:00,106.124,3.66014
101,15:27:05,106.128,3.65058
102,15:27:10,106.133,3.64103
103,15:27:15,106.137,3.63147
104,15:27:20,106.141,3.62191
105,15:27:25,106.146,3.61235
106,15:27:30,106.15,3.60279
107,15:27:35,106.155,3.59323
108,15:27:40,106.159,3.58367
109,15:27:45,106.164,3.57411
110,15:27:50,106.168,3.56455
111,15:27:55,106.173,3.55499
112,15:28:00,106.177,3.54543
113,15:28:05,106.182,3.53587
114,15:28:10,106.186,3.52631
115,15:28:15,106.191,3.51676
116,15:28:20,106.195,3.5072
117,15:28:25,106.2,3.49764
118,15:28:30,106.204,3.48808
119,15:28:35,106.208,3.47852
120,15:28:40,106.213,3.46896
121,15:28:45,106.217,3.4594
122,15:28:50,106.222,3.44984
123,15:28:55,106.226,3.44028
124,15:29:00,106.231,3.43072
125,15:29:05,106.235,3.42116
126,15:29:10,106.24,3.4116
127,15:29:15,106.244,3.40204
128,15:29:20,106.249,3.39248
129,15:29:25,106.253,3.38293
130,15:29:30,106.258,3.37337
131,15:29:35,106.262,3.36381
132,15:29:40,106.267,3.35425
133,15:29:45,106.271,3.34469
134,15:29:50,106.275,3.33513
135,15:29:55,106.28,3.32557
136,15:30:00,106.284,3.31601
137,15:30:05,106.289,3.30645
138,15:30:10,106.293,3.29689
139,15:30:15,106.298,3.28733
140,15:30:20,106.302,3.27777
141,15:30:25,106.307,3.26821
142,15:30:30,106.311,3.25865
143,15:30:35,106.316,3.2491
144,15:30:40,106.32,3.23954
145,15:30:45,106.325,3.22998
146,15:30:50,106.329,3.22042
147,15:30:55,106.334,3.21086
148,15:31:00,106.338,3.2013
149,15:31:05,106.342,3.19174
150,15:31:10,106.347,3.18218
151,15:31:15,106.351,3.17262
152,15:31:20,106.356,3.16306
153,15:31:25,106.36,3.1535
154,15:31:30,106.365,3.14394
155,15:31:35,106.369,3.13438
156,15:31:40,106.374,3.12482
157,15:31:45,106.378,3.11527
158,15:31:50,106.383,3.10571
159,15:31:55,106.387,3.09615
160,15:32:00,106.392,3.08659
161,15:32:05,106.396,3.07703
162,15:32:10,106.401,3.06747
