,time,longitude,latitude
0,16:06:55,106.403,4.57203
1,16:07:00,106.397,4.56325
2,16:07:05,106.391,4.55448
3,16:07:10,106.385,4.5457
4,16:07:15,106.379,4.53692
5,16:07:20,106.373,4.52814
6,16:07:25,106.368,4.51936
7,16:07:30,106.362,4.51058
8,16:07:35,106.356,4.5018
9,16:07:40,106.35,4.49302
10,16:07:45,106.344,4.48424
11,16:07:50,106.338,4.47547
12,16:07:55,106.332,4.46669
13,16:08:00,106.326,4.45791
14,16:08:05,106.321,4.44913
15,16:08:10,106.315,4.44035
16,16:08:15,106.309,4.43157
17,16:08:20,106.303,4.42279
18,16:08:25,106.297,4.41401
19,16:08:30,106.291,4.40523
20,16:08:35,106.285,4.39646
21,16:08:40,106.28,4.38768
22,16:08:45,106.274,4.3789
23,16:08:50,106.268,4.37012
24,16:08:55,106.262,4.36134
25,16:09:00,106.256,4.35256
26,16:09:05,106.25,4.34378
27,16:09:10,106.244,4.335
28,16:09:15,106.238,4.32622
29,16:09:20,106.233,4.31744
30,16:09:25,106.228,4.30803
31,16:09:30,106.224,4.2981
32,16:09:35,106.222,4.28782
33,16:09:40,106.221,4.27733
34,16:09:45,106.221,4.26679
35,16:09:50,106.222,4.25628
36,16:09:55,106.223,4.2458
37,16:10:00,106.224,4.23534
38,16:10:05,106.226,4.22491
39,16:10:10,106.228,4.21449
40,16:10:15,106.229,4.20408
41,16:10:20,106.231,4.19368
42,16:10:25,106.233,4.18331
43,16:10:30,106.235,4.17294
44,16:10:35,106.237,4.16257
45,16:10:40,106.239,4.15221
46,16:10:45,106.241,4.14184
47,16:10:50,106.243,4.13147
48,16:10:55,106.245,4.1211
49,16:11:00,106.247,4.11073
50,16:11:05,106.249,4.10036
51,16:11:10,106.251,4.08999
52,16:11:15,106.252,4.07963
53,16:11:20,106.254,4.06926
54,16:11:25,106.256,4.05889
55,16:11:30,106.258,4.04852
56,16:11:35,106.261,4.03846
57,16:11:40,106.265,4.02855
58,16:11:45,106.269,4.01864
59,16:11:50,106.272,4.00872
60,16:11:55,106.276,3.99881
61,16:12:00,106.28,3.9889
62,16:12:05,106.283,3.97899
63,16:12:10,106.287,3.96908
64,16:12:15,106.29,3.95916
65,16:12:20,106.294,3.94925
66,16:12:25,106.298,3.93934
67,16:12:30,106.301,3.92943
68,16:12:35,106.305,3.91952
69,16:12:40,106.308,3.9096
70,16:12:45,106.312,3.89969
71,16:12:50,106.316,3.88978
72,16:12:55,106.319,3.87987
73,16:13:00,106.323,3.86996
74,16:13:05,106.326,3.86005
75,16:13:10,106.33,3.85013
76,16:13:15,106.334,3.84022
77,16:13:20,106.337,3.83031
78,16:13:25,106.341,3.8204
79,16:13:30,106.345,3.81049
80,16:13:35,106.348,3.80057
81,16:13:40,106.352,3.79066
82,16:13:45,106.355,3.78075
83,16:13:50,106.359,3.77084
84,16:13:55,106.363,3.76093
85,16:14:00,106.366,3.75101
86,16:14:05,106.37,3.7411
87,16:14:10,106.373,3.73119
88,16:14:15,106.377,3.72128
89,16:14:20,106.381,3.71137
90,16:14:25,106.384,3.70146
91,16:14:30,106.388,3.69154
92,16:14:35,106.392,3.68163
93,16:14:40,106.395,3.67172
94,16:14:45,106.399,3.66181
95,16:14:50,106.402,3.6519
96,16:14:55,106.406,3.64198
97,16:15:00,106.41,3.63207
98,16:15:05,106.413,3.62216
99,16:15:10,106.417,3.61225
100,16:15:15,106.42,3.60234
101,16:15:20,106.424,3.59242
102,16:15:25,106.426,3.58215
103,16:15:30,106.428,3.57166
104,16:15:35,106.428,3.56114
105,16:15:40,106.429,3.55061
106,16:15:45,106.43,3.54009
107,16:15:50,106.43,3.52956
108,16:15:55,106.431,3.51904
109,16:16:00,106.432,3.50851
110,16:16:05,106.432,3.49798
111,16:16:10,106.433,3.48746
112,16:16:15,106.434,3.47693
113,16:16:20,106.434,3.46641
114,16:16:25,106.435,3.45588
115,16:16:30,106.436,3.44536
116,16:16:35,106.437,3.43483
117,16:16:40,106.437,3.4243
118,16:16:45,106.438,3.41378
119,16:16:50,106.439,3.40325
120,16:16:55,106.439,3.39273
121,16:17:00,106.44,3.3822
122,16:17:05,106.441,3.37167
123,16:17:10,106.441,3.36115
124,16:17:15,106.442,3.35062
125,16:17:20,106.443,3.3401
126,16:17:25,106.443,3.32957
127,16:17:30,106.444,3.31904
128,16:17:35,106.445,3.30852
129,16:17:40,106.445,3.29799
130,16:17:45,106.446,3.28746
131,16:17:50,106.447,3.27694
132,16:17:55,106.447,3.26641
133,16:18:00,106.448,3.25589
134,16:18:05,106.449,3.24536
135,16:18:10,106.449,3.23483
136,16:18:15,106.45,3.22431
137,16:18:20,106.451,3.21378
138,16:18:25,106.451,3.20325
139,16:18:30,106.452,3.19273
140,16:18:35,106.453,3.1822
141,16:18:40,106.453,3.17168
142,16:18:45,106.454,3.16115
143,16:18:50,106.455,3.15062
144,16:18:55,106.455,3.1401
145,16:19:00,106.456,3.12957
146,16:19:05,106.457,3.11905
147,16:19:10,106.458,3.10852
148,16:19:15,106.458,3.09799
149,16:19:20,106.459,3.08747
150,16:19:25,106.46,3.07694
151,16:19:30,106.46,3.06641
152,16:19:35,106.461,3.05589
153,16:19:40,106.462,3.04536
154,16:19:45,106.462,3.03484
155,16:19:50,106.463,3.02431
156,16:19:55,106.464,3.01378
157,16:20:00,106.464,3.00326
158,16:20:05,106.465,2.99273
159,16:20:10,106.466,2.98221
160,16:20:15,106.466,2.97168
161,16:20:20,106.467,2.96115
162,16:20:25,106.468,2.95063
163,16:20:30,106.468,2.9401
164,16:20:35,106.469,2.92957
165,16:20:40,106.47,2.91905
166,16:20:45,106.472,2.90868
167,16:20:50,106.474,2.89831
168,16:20:55,106.476,2.88795
169,16:21:00,106.477,2.87758
170,16:21:05,106.479,2.86722
171,16:21:10,106.481,2.85685
172,16:21:15,106.483,2.84649
173,16:21:20,106.485,2.83613
174,16:21:25,106.487,2.82576
175,16:21:30,106.489,2.8154
176,16:21:35,106.491,2.80503
177,16:21:40,106.493,2.79467
178,16:21:45,106.495,2.7843
179,16:21:50,106.497,2.77394
180,16:21:55,106.499,2.76357
181,16:22:00,106.501,2.75321
182,16:22:05,106.503,2.74284
183,16:22:10,106.505,2.73248
184,16:22:15,106.507,2.72212
185,16:22:20,106.509,2.71175
186,16:22:25,106.511,2.70139
187,16:22:30,106.513,2.69102
188,16:22:35,106.515,2.68066
189,16:22:40,106.517,2.67029
190,16:22:45,106.519,2.65993
191,16:22:50,106.521,2.64956
192,16:22:55,106.523,2.6392
193,16:23:00,106.525,2.62883
194,16:23:05,106.526,2.61847
195,16:23:10,106.528,2.6081
196,16:23:15,106.53,2.59774
197,16:23:20,106.532,2.58738
198,16:23:25,106.534,2.57701
199,16:23:30,106.536,2.56665
200,16:23:35,106.538,2.55628
201,16:23:40,106.54,2.54592
202,16:23:45,106.542,2.53555
203,16:23:50,106.544,2.52519
204,16:23:55,106.546,2.51483
205,16:24:00,106.548,2.50447
