,time,longitude,latitude
0,17:16:20,106.403,4.57203
1,17:16:25,106.397,4.56325
2,17:16:30,106.391,4.55448
3,17:16:35,106.385,4.5457
4,17:16:40,106.379,4.53692
5,17:16:45,106.373,4.52814
6,17:16:50,106.368,4.51936
7,17:16:55,106.362,4.51058
8,17:17:00,106.356,4.5018
9,17:17:05,106.35,4.49302
10,17:17:10,106.344,4.48424
11,17:17:15,106.338,4.47547
12,17:17:20,106.332,4.46669
13,17:17:25,106.326,4.45791
14,17:17:30,106.321,4.44913
15,17:17:35,106.315,4.44035
16,17:17:40,106.309,4.43157
17,17:17:45,106.303,4.42279
18,17:17:50,106.297,4.41401
19,17:17:55,106.291,4.40523
20,17:18:00,106.285,4.39646
21,17:18:05,106.28,4.38768
22,17:18:10,106.274,4.3789
23,17:18:15,106.268,4.37012
24,17:18:20,106.262,4.36134
25,17:18:25,106.256,4.35256
26,17:18:30,106.25,4.34378
27,17:18:35,106.244,4.335
28,17:18:40,106.238,4.32622
29,17:18:45,106.233,4.31744
30,17:18:50,106.227,4.30867
31,17:18:55,106.221,4.29989
32,17:19:00,106.214,4.29188
33,17:19:05,106.206,4.2847
34,17:19:10,106.198,4.27778
35,17:19:15,106.19,4.27095
36,17:19:20,106.182,4.26428
37,17:19:25,106.174,4.25761
38,17:19:30,106.166,4.25094
39,17:19:35,106.157,4.24427
40,17:19:40,106.149,4.2376
41,17:19:45,106.141,4.23092
42,17:19:50,106.133,4.22425
43,17:19:55,106.125,4.21758
44,17:20:00,106.116,4.21091
45,17:20:05,106.108,4.20423
46,17:20:10,106.1,4.19756
47,17:20:15,106.092,4.19089
48,17:20:20,106.084,4.18422
49,17:20:25,106.075,4.17755
50,17:20:30,106.067,4.17087
51,17:20:35,106.059,4.1642
52,17:20:40,106.051,4.15753
53,17:20:45,106.043,4.15086
54,17:20:50,106.035,4.14418
55,17:20:55,106.026,4.13751
56,17:21:00,106.018,4.13084
57,17:21:05,106.01,4.12417
58,17:21:10,106.002,4.1175
59,17:21:15,105.994,4.11082
60,17:21:20,105.985,4.10415
61,17:21:25,105.977,4.09748
62,17:21:30,105.969,4.09081
63,17:21:35,105.961,4.08413
64,17:21:40,105.953,4.07746
65,17:21:45,105.944,4.07079
66,17:21:50,105.936,4.06412
67,17:21:55,105.928,4.05745
68,17:22:00,105.919,4.05181
69,17:22:05,105.91,4.04728
70,17:22:10,105.9,4.04367
71,17:22:15,105.89,4.04007
72,17:22:20,105.88,4.03646
73,17:22:25,105.87,4.03285
74,17:22:30,105.86,4.02924
75,17:22:35,105.85,4.02564
76,17:22:40,105.84,4.02203
77,17:22:45,105.83,4.01842
78,17:22:50,105.82,4.01481
79,17:22:55,105.81,4.0112
80,17:23:00,105.8,4.0076
81,17:23:05,105.79,4.00399
82,17:23:10,105.78,4.00038
83,17:23:15,105.77,3.99677
84,17:23:20,105.761,3.99317
85,17:23:25,105.751,3.98956
86,17:23:30,105.741,3.98595
87,17:23:35,105.731,3.98234
88,17:23:40,105.721,3.97874
89,17:23:45,105.711,3.97513
90,17:23:50,105.701,3.97152
91,17:23:55,105.691,3.96791
92,17:24:00,105.681,3.96431
93,17:24:05,105.671,3.9607
94,17:24:10,105.661,3.95709
95,17:24:15,105.651,3.95348
96,17:24:20,105.641,3.94988
97,17:24:25,105.631,3.94627
98,17:24:30,105.621,3.94266
99,17:24:35,105.611,3.93905
100,17:24:40,105.602,3.93544
101,17:24:45,105.592,3.93184
102,17:24:50,105.582,3.92706
103,17:24:55,105.573,3.92119
104,17:25:00,105.565,3.9143
105,17:25:05,105.558,3.90691
106,17:25:10,105.55,3.89952
107,17:25:15,105.543,3.89213
108,17:25:20,105.535,3.88475
109,17:25:25,105.528,3.87735
110,17:25:30,105.52,3.86995
111,17:25:35,105.513,3.86256
112,17:25:40,105.505,3.85516
113,17:25:45,105.497,3.84777
114,17:25:50,105.49,3.84037
115,17:25:55,105.482,3.83298
116,17:26:00,105.475,3.82558
117,17:26:05,105.467,3.81819
118,17:26:10,105.46,3.81079
119,17:26:15,105.452,3.8034
120,17:26:20,105.445,3.796
121,17:26:25,105.437,3.78861
122,17:26:30,105.43,3.78121
123,17:26:35,105.422,3.77381
124,17:26:40,105.415,3.76642
125,17:26:45,105.407,3.75902
126,17:26:50,105.399,3.75163
127,17:26:55,105.392,3.74423
128,17:27:00,105.384,3.73684
129,17:27:05,105.377,3.72944
130,17:27:10,105.369,3.72205
131,17:27:15,105.362,3.71465
132,17:27:20,105.354,3.70726
133,17:27:25,105.347,3.69986
134,17:27:30,105.339,3.69247
135,17:27:35,105.332,3.68507
136,17:27:40,105.324,3.67767
137,17:27:45,105.317,3.67028
138,17:27:50,105.309,3.66288
139,17:27:55,105.301,3.65549
140,17:28:00,105.294,3.64809
141,17:28:05,105.286,3.6407
142,17:28:10,105.279,3.6333
143,17:28:15,105.271,3.62591
144,17:28:20,105.264,3.61851
145,17:28:25,105.256,3.61112
146,17:28:30,105.249,3.60372
147,17:28:35,105.241,3.59633
148,17:28:40,105.234,3.58893
149,17:28:45,105.226,3.58153
150,17:28:50,105.219,3.57414
151,17:28:55,105.211,3.56674
152,17:29:00,105.204,3.55935
153,17:29:05,105.196,3.55195
154,17:29:10,105.188,3.54456
155,17:29:15,105.181,3.53716
156,17:29:20,105.173,3.52977
157,17:29:25,105.166,3.52237
158,17:29:30,105.158,3.51497
159,17:29:35,105.151,3.50758
160,17:29:40,105.143,3.50018
161,17:29:45,105.136,3.49279
162,17:29:50,105.128,3.48539
163,17:29:55,105.121,3.478
164,17:30:00,105.113,3.4706
165,17:30:05,105.106,3.46321
166,17:30:10,105.098,3.45581
167,17:30:15,105.091,3.44841
168,17:30:20,105.083,3.44102
169,17:30:25,105.075,3.43362
170,17:30:30,105.068,3.42623
171,17:30:35,105.06,3.41883
172,17:30:40,105.053,3.41144
173,17:30:45,105.045,3.40404
174,17:30:50,105.038,3.39664
175,17:30:55,105.03,3.38925
176,17:31:00,105.023,3.38185
177,17:31:05,105.015,3.37446
178,17:31:10,105.008,3.36706
179,17:31:15,105.0,3.35967
180,17:31:20,104.993,3.35227
181,17:31:25,104.985,3.34488
182,17:31:30,104.978,3.33748
183,17:31:35,104.97,3.33008
184,17:31:40,104.962,3.32268
185,17:31:45,104.955,3.31528
186,17:31:50,104.947,3.30788
187,17:31:55,104.94,3.30048
188,17:32:00,104.932,3.29307
189,17:32:05,104.925,3.28567
190,17:32:10,104.917,3.27827
191,17:32:15,104.91,3.27087
192,17:32:20,104.902,3.26346
193,17:32:25,104.895,3.25606
194,17:32:30,104.887,3.24866
195,17:32:35,104.88,3.24126
196,17:32:40,104.872,3.23386
197,17:32:45,104.865,3.22645
198,17:32:50,104.857,3.21905
199,17:32:55,104.85,3.21165
200,17:33:00,104.842,3.20425
201,17:33:05,104.835,3.19684
202,17:33:10,104.827,3.18944
203,17:33:15,104.819,3.18204
204,17:33:20,104.812,3.17464
205,17:33:25,104.804,3.16724
206,17:33:30,104.797,3.15983
207,17:33:35,104.789,3.15243
208,17:33:40,104.782,3.14503
209,17:33:45,104.774,3.13763
210,17:33:50,104.767,3.13022
211,17:33:55,104.759,3.12282
212,17:34:00,104.752,3.11542
213,17:34:05,104.744,3.10802
