,time,longitude,latitude
0,15:53:40,106.403,4.57203
1,15:53:45,106.397,4.56325
2,15:53:55,106.391,4.55448
3,15:54:00,106.385,4.5457
4,15:54:04,106.379,4.53692
5,15:54:05,106.373,4.52814
6,15:54:10,106.368,4.51936
7,15:54:15,106.362,4.51058
8,15:54:20,106.356,4.5018
9,15:54:30,106.35,4.49302
10,15:54:35,106.344,4.48424
11,15:54:39,106.338,4.47547
12,15:54:40,106.332,4.46669
13,15:54:45,106.326,4.45791
14,15:54:50,106.321,4.44913
15,15:54:55,106.315,4.44035
16,15:55:05,106.309,4.43157
17,15:55:10,106.303,4.42279
18,15:55:14,106.297,4.41401
19,15:55:15,106.291,4.40523
20,15:55:20,106.285,4.39646
21,15:55:25,106.28,4.38768
22,15:55:30,106.274,4.3789
23,15:55:40,106.268,4.37012
24,15:55:45,106.262,4.36134
25,15:55:49,106.256,4.35256
26,15:55:50,106.25,4.34378
27,15:55:55,106.244,4.335
28,15:56:00,106.238,4.32622
29,15:56:05,106.233,4.31744
30,15:56:15,106.228,4.30803
31,15:56:20,106.224,4.2981
32,15:56:24,106.222,4.28782
33,15:56:25,106.221,4.27733
34,15:56:30,106.221,4.26679
35,15:56:35,106.222,4.25628
36,15:56:40,106.223,4.2458
37,15:56:50,106.224,4.23534
38,15:56:55,106.226,4.22491
39,15:56:59,106.228,4.21449
40,15:57:00,106.229,4.20408
41,15:57:05,106.231,4.19368
42,15:57:10,106.233,4.18331
43,15:57:15,106.235,4.17294
44,15:57:25,106.237,4.16257
45,15:57:30,106.239,4.15221
46,15:57:34,106.241,4.14184
47,15:57:35,106.243,4.13147
48,15:57:40,106.245,4.1211
49,15:57:45,106.247,4.11073
50,15:57:50,106.249,4.10036
51,15:58:00,106.251,4.08999
52,15:58:05,106.252,4.07963
53,15:58:09,106.254,4.06926
54,15:58:10,106.256,4.05889
55,15:58:15,106.258,4.04852
56,15:58:20,106.26,4.03815
57,15:58:25,106.262,4.02778
58,15:58:35,106.264,4.01741
59,15:58:40,106.266,4.00704
60,15:58:44,106.268,3.99668
61,15:58:45,106.27,3.98631
62,15:58:50,106.272,3.97594
63,15:58:55,106.274,3.96557
64,15:59:00,106.276,3.9552
65,15:59:10,106.278,3.94483
66,15:59:15,106.28,3.93446
67,15:59:19,106.282,3.9241
68,15:59:20,106.283,3.91373
69,15:59:25,106.285,3.90336
70,15:59:30,106.287,3.89299
71,15:59:35,106.289,3.88262
72,15:59:45,106.29,3.87209
73,15:59:50,106.289,3.86156
74,15:59:54,106.288,3.85118
75,15:59:55,106.284,3.8411
76,16:00:00,106.28,3.83147
77,16:00:05,106.275,3.82242
78,16:00:10,106.268,3.81409
79,16:00:20,106.261,3.8066
80,16:00:25,106.253,3.79982
81,16:00:29,106.245,3.79304
82,16:00:30,106.236,3.78626
83,16:00:35,106.228,3.77948
84,16:00:40,106.22,3.7727
85,16:00:45,106.212,3.76592
86,16:00:55,106.204,3.75914
87,16:01:00,106.196,3.75236
88,16:01:04,106.188,3.74558
89,16:01:05,106.18,3.7388
90,16:01:10,106.172,3.73202
91,16:01:15,106.164,3.72524
92,16:01:20,106.155,3.71846
93,16:01:30,106.147,3.71168
94,16:01:35,106.139,3.7049
95,16:01:39,106.131,3.69812
96,16:01:40,106.123,3.69134
97,16:01:45,106.115,3.68456
98,16:01:50,106.107,3.67778
99,16:01:55,106.099,3.671
100,16:02:05,106.091,3.66422
101,16:02:10,106.083,3.65744
102,16:02:14,106.074,3.65066
103,16:02:15,106.067,3.64295
104,16:02:20,106.061,3.63444
105,16:02:25,106.056,3.62523
106,16:02:30,106.052,3.61548
107,16:02:40,106.049,3.60531
108,16:02:45,106.047,3.59487
109,16:02:49,106.047,3.58433
110,16:02:50,106.048,3.57383
111,16:02:55,106.05,3.56352
112,16:03:00,106.054,3.55356
113,16:03:05,106.059,3.54409
114,16:03:15,106.064,3.53525
115,16:03:20,106.07,3.52643
116,16:03:24,106.076,3.51762
117,16:03:25,106.082,3.5088
118,16:03:30,106.088,3.49999
119,16:03:35,106.093,3.49117
120,16:03:40,106.099,3.48236
121,16:03:50,106.105,3.47354
122,16:03:55,106.111,3.46473
123,16:03:59,106.117,3.45591
124,16:04:00,106.122,3.4471
125,16:04:05,106.128,3.43829
126,16:04:10,106.134,3.42947
127,16:04:15,106.14,3.42066
128,16:04:25,106.146,3.41184
129,16:04:30,106.151,3.40303
130,16:04:34,106.157,3.39421
131,16:04:35,106.163,3.3854
132,16:04:40,106.169,3.37658
133,16:04:45,106.175,3.36777
134,16:04:50,106.18,3.35895
135,16:05:00,106.186,3.35014
136,16:05:05,106.192,3.34133
137,16:05:09,106.198,3.33251
138,16:05:10,106.204,3.3237
139,16:05:15,106.209,3.31488
140,16:05:20,106.215,3.30607
141,16:05:25,106.221,3.29725
142,16:05:35,106.227,3.28844
143,16:05:40,106.233,3.27962
144,16:05:44,106.238,3.27081
145,16:05:45,106.244,3.26199
146,16:05:50,106.25,3.25318
147,16:05:55,106.256,3.24436
148,16:06:00,106.262,3.23555
149,16:06:10,106.268,3.22674
150,16:06:15,106.273,3.21792
151,16:06:19,106.279,3.20911
152,16:06:20,106.285,3.20029
153,16:06:25,106.291,3.19148
154,16:06:30,106.297,3.18266
155,16:06:35,106.302,3.17385
156,16:06:45,106.308,3.16503
157,16:06:50,106.314,3.15622
158,16:06:54,106.32,3.1474
159,16:06:55,106.326,3.13859
160,16:07:00,106.331,3.12978
161,16:07:05,106.337,3.12096
162,16:07:10,106.343,3.11215
163,16:07:20,106.349,3.10333
164,16:07:25,106.355,3.09452
165,16:07:29,106.36,3.0857
166,16:07:30,106.366,3.07689
167,16:07:35,106.372,3.06807
168,16:07:40,106.378,3.05926
169,16:07:45,106.384,3.05044
170,16:07:55,106.389,3.04163
171,16:08:00,106.395,3.03281
172,16:08:04,106.401,3.024
173,16:08:05,106.407,3.01519
174,16:08:10,106.413,3.00638
175,16:08:15,106.418,2.99757
176,16:08:20,106.424,2.98876
177,16:08:30,106.43,2.97995
178,16:08:35,106.436,2.97114
179,16:08:39,106.442,2.96233
180,16:08:40,106.447,2.95352
181,16:08:45,106.453,2.94472
182,16:08:50,106.459,2.93591
183,16:08:55,106.464,2.92646
184,16:09:05,106.467,2.91652
185,16:09:10,106.47,2.90639
186,16:09:14,106.473,2.89618
187,16:09:15,106.475,2.88592
188,16:09:20,106.478,2.87563
189,16:09:25,106.48,2.86533
190,16:09:30,106.482,2.855
191,16:09:40,106.484,2.84467
192,16:09:45,106.486,2.8343
193,16:09:49,106.488,2.82393
194,16:09:50,106.49,2.81357
195,16:09:55,106.492,2.8032
196,16:10:00,106.494,2.79283
197,16:10:05,106.496,2.78246
198,16:10:15,106.498,2.7721
199,16:10:20,106.5,2.76173
200,16:10:24,106.502,2.75136
201,16:10:25,106.504,2.741
202,16:10:30,106.506,2.73063
203,16:10:35,106.507,2.72026
204,16:10:40,106.509,2.7099
205,16:10:50,106.511,2.69953
206,16:10:55,106.513,2.68916
207,16:10:59,106.515,2.6788
208,16:11:00,106.517,2.66843
209,16:11:05,106.519,2.65806
210,16:11:10,106.521,2.64769
211,16:11:15,106.523,2.63733
212,16:11:25,106.525,2.62696
213,16:11:30,106.527,2.61659
214,16:11:34,106.529,2.60623
215,16:11:35,106.531,2.59586
216,16:11:40,106.533,2.58549
217,16:11:45,106.535,2.57513
218,16:11:50,106.537,2.56476
219,16:12:00,106.539,2.55439
220,16:12:05,106.541,2.54403
221,16:12:09,106.543,2.53366
222,16:12:10,106.545,2.5233
223,16:12:15,106.546,2.51293
224,16:12:20,106.548,2.50257
