,time,longitude,latitude
0,15:24:05,106.535,2.52356
1,15:24:10,106.525,2.52632
2,15:24:15,106.514,2.52908
3,15:24:20,106.504,2.53184
4,15:24:25,106.494,2.5346
5,15:24:30,106.484,2.53737
6,15:24:35,106.474,2.54013
7,15:24:40,106.463,2.54289
8,15:24:45,106.453,2.54565
9,15:24:50,106.443,2.54841
10,15:24:55,106.433,2.55117
11,15:25:00,106.423,2.55393
12,15:25:05,106.413,2.55669
13,15:25:10,106.402,2.55945
14,15:25:15,106.392,2.56221
15,15:25:20,106.382,2.56497
16,15:25:25,106.372,2.56774
17,15:25:30,106.362,2.5705
18,15:25:35,106.351,2.57326
19,15:25:40,106.341,2.57602
20,15:25:45,106.331,2.57878
21,15:25:50,106.321,2.58154
22,15:25:55,106.311,2.5843
23,15:26:00,106.3,2.58706
24,15:26:05,106.29,2.58982
25,15:26:10,106.28,2.59258
26,15:26:15,106.27,2.59534
27,15:26:20,106.26,2.5981
28,15:26:25,106.249,2.60087
29,15:26:30,106.239,2.60363
30,15:26:35,106.229,2.60639
31,15:26:40,106.219,2.60915
32,15:26:45,106.209,2.61191
33,15:26:50,106.199,2.61467
34,15:26:55,106.188,2.61743
35,15:27:00,106.178,2.62019
36,15:27:05,106.168,2.62295
37,15:27:10,106.158,2.62571
38,15:27:15,106.148,2.62847
39,15:27:20,106.137,2.63124
40,15:27:25,106.127,2.63399
41,15:27:30,106.117,2.63674
42,15:27:35,106.107,2.63949
43,15:27:40,106.097,2.64224
44,15:27:45,106.086,2.64499
45,15:27:50,106.076,2.64774
46,15:27:55,106.066,2.6505
47,15:28:00,106.056,2.65325
48,15:28:05,106.046,2.656
49,15:28:10,106.035,2.65875
50,15:28:15,106.025,2.6615
51,15:28:20,106.015,2.66425
52,15:28:25,106.005,2.66701
53,15:28:30,105.995,2.66975
54,15:28:35,105.985,2.67259
55,15:28:40,105.974,2.67544
56,15:28:45,105.964,2.67829
57,15:28:50,105.954,2.68114
58,15:28:55,105.944,2.68398
59,15:29:00,105.934,2.68683
60,15:29:05,105.924,2.68968
61,15:29:10,105.913,2.69253
62,15:29:15,105.903,2.69537
63,15:29:20,105.893,2.69822
64,15:29:25,105.883,2.70107
65,15:29:30,105.873,2.70392
66,15:29:35,105.862,2.70676
67,15:29:40,105.852,2.70961
68,15:29:45,105.842,2.71246
69,15:29:50,105.832,2.71531
70,15:29:55,105.822,2.71816
71,15:30:00,105.812,2.721
72,15:30:05,105.801,2.72385
73,15:30:10,105.791,2.7267
74,15:30:15,105.781,2.72955
75,15:30:20,105.771,2.73239
76,15:30:25,105.761,2.73524
77,15:30:30,105.751,2.73809
78,15:30:35,105.74,2.74094
79,15:30:40,105.73,2.74378
80,15:30:45,105.72,2.74663
81,15:30:50,105.71,2.74948
82,15:30:55,105.7,2.75233
83,15:31:00,105.69,2.75517
84,15:31:05,105.679,2.75802
85,15:31:10,105.669,2.76087
86,15:31:15,105.659,2.76372
87,15:31:20,105.649,2.76656
88,15:31:25,105.639,2.76941
89,15:31:30,105.629,2.77226
90,15:31:35,105.618,2.77511
91,15:31:40,105.608,2.77795
92,15:31:45,105.598,2.7808
93,15:31:50,105.588,2.78365
94,15:31:55,105.578,2.7865
95,15:32:00,105.568,2.78934
96,15:32:05,105.557,2.79219
97,15:32:10,105.547,2.79504
98,15:32:15,105.537,2.79789
99,15:32:20,105.527,2.80073
100,15:32:25,105.517,2.80358
101,15:32:30,105.507,2.80643
102,15:32:35,105.496,2.80928
103,15:32:40,105.486,2.81212
104,15:32:45,105.476,2.81497
105,15:32:50,105.466,2.81782
106,15:32:55,105.456,2.82067
107,15:33:00,105.446,2.82351
108,15:33:05,105.435,2.82636
109,15:33:10,105.425,2.82921
110,15:33:15,105.415,2.83206
111,15:33:20,105.405,2.8349
112,15:33:25,105.395,2.83775
113,15:33:30,105.384,2.8406
114,15:33:35,105.374,2.84345
115,15:33:40,105.364,2.84629
116,15:33:45,105.354,2.84914
117,15:33:50,105.344,2.852
118,15:33:55,105.334,2.85486
119,15:34:00,105.323,2.85771
120,15:34:05,105.313,2.86057
121,15:34:10,105.303,2.86343
122,15:34:15,105.293,2.86628
123,15:34:20,105.283,2.86914
124,15:34:25,105.273,2.87199
125,15:34:30,105.263,2.87485
126,15:34:35,105.252,2.87771
127,15:34:40,105.242,2.88056
128,15:34:45,105.232,2.88342
129,15:34:50,105.222,2.88628
130,15:34:55,105.212,2.88913
131,15:35:00,105.202,2.89199
132,15:35:05,105.191,2.89485
133,15:35:10,105.181,2.8977
134,15:35:15,105.171,2.90051
