,time,longitude,latitude
0,15:46:40,106.403,4.57262
1,15:46:45,106.397,4.56384
2,15:46:50,106.391,4.55506
3,15:46:55,106.385,4.54627
4,15:47:00,106.379,4.53749
5,15:47:05,106.373,4.52871
6,15:47:10,106.368,4.51992
7,15:47:15,106.362,4.51114
8,15:47:20,106.356,4.50235
9,15:47:25,106.35,4.49357
10,15:47:30,106.344,4.48478
11,15:47:35,106.338,4.476
12,15:47:40,106.332,4.46721
13,15:47:45,106.327,4.45843
14,15:47:50,106.321,4.44964
15,15:47:55,106.315,4.44086
16,15:48:00,106.309,4.43208
17,15:48:05,106.303,4.42329
18,15:48:10,106.297,4.41451
19,15:48:15,106.291,4.40572
20,15:48:20,106.286,4.39694
21,15:48:25,106.28,4.38815
22,15:48:30,106.274,4.37937
23,15:48:35,106.268,4.37058
24,15:48:40,106.262,4.3618
25,15:48:45,106.256,4.35302
26,15:48:50,106.25,4.34423
27,15:48:55,106.245,4.33545
28,15:49:00,106.239,4.32666
29,15:49:05,106.233,4.31788
30,15:49:10,106.228,4.30845
31,15:49:15,106.225,4.29853
32,15:49:20,106.222,4.28824
33,15:49:25,106.221,4.27775
34,15:49:30,106.221,4.26721
35,15:49:35,106.222,4.25669
36,15:49:40,106.223,4.2462
37,15:49:45,106.225,4.23574
38,15:49:50,106.226,4.2253
39,15:49:55,106.228,4.21487
40,15:50:00,106.229,4.20446
41,15:50:05,106.231,4.19405
42,15:50:10,106.233,4.18369
43,15:50:15,106.235,4.17332
44,15:50:20,106.237,4.16295
45,15:50:25,106.239,4.15258
46,15:50:30,106.241,4.14221
47,15:50:35,106.243,4.13184
48,15:50:40,106.245,4.12147
49,15:50:45,106.247,4.1111
50,15:50:50,106.249,4.10073
51,15:50:55,106.251,4.09036
52,15:51:00,106.252,4.08
53,15:51:05,106.254,4.06963
54,15:51:10,106.256,4.05926
55,15:51:15,106.258,4.04889
56,15:51:20,106.26,4.03852
57,15:51:25,106.262,4.02815
58,15:51:30,106.264,4.01778
59,15:51:35,106.266,4.00741
60,15:51:40,106.268,3.99704
61,15:51:45,106.27,3.98667
62,15:51:50,106.272,3.97631
63,15:51:55,106.274,3.96594
64,15:52:00,106.276,3.95557
65,15:52:05,106.278,3.9452
66,15:52:10,106.28,3.93483
67,15:52:15,106.282,3.92446
68,15:52:20,106.284,3.91409
69,15:52:25,106.285,3.90372
70,15:52:30,106.287,3.89335
71,15:52:35,106.289,3.88298
72,15:52:40,106.291,3.87261
73,15:52:45,106.293,3.86225
74,15:52:50,106.295,3.85188
75,15:52:55,106.297,3.84151
76,15:53:00,106.299,3.83114
77,15:53:05,106.301,3.82077
78,15:53:10,106.303,3.8104
79,15:53:15,106.305,3.80003
80,15:53:20,106.307,3.78966
81,15:53:25,106.309,3.77929
82,15:53:30,106.311,3.76892
83,15:53:35,106.313,3.75855
