,time,longitude,latitude
0,17:16:55,107.306,3.72198
1,17:17:00,107.296,3.71785
2,17:17:05,107.286,3.71373
3,17:17:10,107.277,3.7096
4,17:17:15,107.267,3.70548
5,17:17:20,107.257,3.70136
6,17:17:25,107.248,3.69723
7,17:17:30,107.238,3.69311
8,17:17:35,107.228,3.68898
9,17:17:40,107.218,3.68486
10,17:17:45,107.209,3.68073
11,17:17:50,107.199,3.67661
12,17:17:55,107.189,3.67249
13,17:18:00,107.179,3.66836
14,17:18:05,107.17,3.66424
15,17:18:10,107.16,3.66011
16,17:18:15,107.15,3.65599
17,17:18:20,107.141,3.65187
18,17:18:25,107.131,3.64774
19,17:18:30,107.121,3.64362
20,17:18:35,107.111,3.63949
21,17:18:40,107.102,3.63537
22,17:18:45,107.092,3.63124
23,17:18:50,107.082,3.62712
24,17:18:55,107.072,3.623
25,17:19:00,107.063,3.61887
26,17:19:05,107.053,3.61475
27,17:19:10,107.043,3.61062
28,17:19:15,107.034,3.6065
29,17:19:20,107.024,3.60238
30,17:19:25,107.014,3.59825
31,17:19:30,107.004,3.59413
32,17:19:35,106.995,3.59
33,17:19:40,106.985,3.58588
34,17:19:45,106.975,3.58175
35,17:19:50,106.965,3.57763
36,17:19:55,106.956,3.57351
37,17:20:00,106.946,3.56938
38,17:20:05,106.936,3.56526
39,17:20:10,106.927,3.56113
40,17:20:15,106.917,3.55734
41,17:20:20,106.907,3.55355
42,17:20:25,106.897,3.54975
43,17:20:30,106.887,3.54596
44,17:20:35,106.877,3.54217
45,17:20:40,106.867,3.53837
46,17:20:45,106.858,3.53458
47,17:20:50,106.848,3.53079
48,17:20:55,106.838,3.52699
49,17:21:00,106.828,3.5232
50,17:21:05,106.818,3.51941
51,17:21:10,106.808,3.51561
52,17:21:15,106.798,3.51182
53,17:21:20,106.788,3.50803
54,17:21:25,106.779,3.50423
55,17:21:30,106.769,3.50044
56,17:21:35,106.759,3.49665
57,17:21:40,106.749,3.49285
58,17:21:45,106.739,3.48906
59,17:21:50,106.729,3.48527
60,17:21:55,106.719,3.48147
61,17:22:00,106.71,3.47768
62,17:22:05,106.7,3.47389
63,17:22:10,106.69,3.47009
64,17:22:15,106.68,3.4663
65,17:22:20,106.67,3.46251
66,17:22:25,106.66,3.45871
67,17:22:30,106.65,3.45492
68,17:22:35,106.641,3.45113
