,time,longitude,latitude
0,16:41:05,106.535,2.52356
1,16:41:10,106.525,2.52632
2,16:41:15,106.514,2.52908
3,16:41:20,106.504,2.53184
4,16:41:25,106.494,2.5346
5,16:41:30,106.484,2.53737
6,16:41:35,106.474,2.54013
7,16:41:40,106.463,2.54289
8,16:41:45,106.453,2.54565
9,16:41:50,106.443,2.54841
10,16:41:55,106.433,2.55117
11,16:42:00,106.423,2.55393
12,16:42:05,106.413,2.55669
13,16:42:10,106.402,2.55945
14,16:42:15,106.392,2.56221
15,16:42:20,106.382,2.56497
16,16:42:25,106.372,2.56774
17,16:42:30,106.362,2.5705
18,16:42:35,106.351,2.57326
19,16:42:40,106.341,2.57602
20,16:42:45,106.331,2.57878
21,16:42:50,106.321,2.58154
22,16:42:55,106.311,2.5843
23,16:43:00,106.3,2.58706
24,16:43:05,106.29,2.58982
25,16:43:10,106.28,2.59258
26,16:43:15,106.27,2.59534
27,16:43:20,106.26,2.5981
28,16:43:25,106.249,2.60087
29,16:43:30,106.239,2.60363
30,16:43:35,106.229,2.60639
31,16:43:40,106.219,2.60915
32,16:43:45,106.209,2.61191
33,16:43:50,106.199,2.61467
34,16:43:55,106.188,2.61743
35,16:44:00,106.178,2.62019
36,16:44:05,106.168,2.62295
37,16:44:10,106.158,2.62571
38,16:44:15,106.148,2.62847
39,16:44:20,106.137,2.63124
40,16:44:25,106.127,2.63399
41,16:44:30,106.117,2.63674
42,16:44:35,106.107,2.63949
43,16:44:40,106.097,2.64224
44,16:44:45,106.086,2.64499
45,16:44:50,106.076,2.64774
46,16:44:55,106.066,2.6505
47,16:45:00,106.056,2.65325
48,16:45:05,106.046,2.656
49,16:45:10,106.035,2.65875
50,16:45:15,106.025,2.6615
51,16:45:20,106.015,2.66425
52,16:45:25,106.005,2.66701
53,16:45:30,105.995,2.66975
54,16:45:35,105.985,2.67259
55,16:45:40,105.974,2.67544
56,16:45:45,105.964,2.67829
57,16:45:50,105.954,2.68114
58,16:45:55,105.944,2.68398
59,16:46:00,105.934,2.68683
60,16:46:05,105.924,2.68968
61,16:46:10,105.913,2.69253
62,16:46:15,105.903,2.69537
63,16:46:20,105.893,2.69822
64,16:46:25,105.883,2.70107
65,16:46:30,105.873,2.70392
66,16:46:35,105.862,2.70676
67,16:46:40,105.852,2.70961
68,16:46:45,105.842,2.71246
69,16:46:50,105.832,2.71531
70,16:46:55,105.822,2.71816
71,16:47:00,105.812,2.721
72,16:47:05,105.801,2.72385
73,16:47:10,105.791,2.7267
74,16:47:15,105.781,2.72955
75,16:47:20,105.771,2.73239
76,16:47:25,105.761,2.73524
77,16:47:30,105.751,2.73809
78,16:47:35,105.74,2.74094
79,16:47:40,105.73,2.74378
80,16:47:45,105.72,2.74663
81,16:47:50,105.71,2.74948
82,16:47:55,105.7,2.75233
83,16:48:00,105.69,2.75517
84,16:48:05,105.679,2.75802
85,16:48:10,105.669,2.76087
86,16:48:15,105.659,2.76372
87,16:48:20,105.649,2.76656
88,16:48:25,105.639,2.76941
89,16:48:30,105.629,2.77226
90,16:48:35,105.618,2.77511
91,16:48:40,105.608,2.77795
92,16:48:45,105.598,2.7808
93,16:48:50,105.588,2.78365
94,16:48:55,105.578,2.7865
95,16:49:00,105.568,2.78934
96,16:49:05,105.557,2.79219
97,16:49:10,105.547,2.79504
98,16:49:15,105.537,2.79789
99,16:49:20,105.527,2.80073
100,16:49:25,105.517,2.80358
