,time,longitude,latitude
0,18:26:40,106.403,4.57203
1,18:26:45,106.397,4.56325
2,18:26:50,106.391,4.55448
3,18:26:55,106.385,4.5457
4,18:27:00,106.379,4.53692
5,18:27:05,106.373,4.52814
6,18:27:10,106.368,4.51936
7,18:27:15,106.362,4.51058
8,18:27:20,106.356,4.5018
9,18:27:25,106.35,4.49302
10,18:27:30,106.344,4.48424
11,18:27:35,106.338,4.47547
12,18:27:40,106.332,4.46669
13,18:27:45,106.326,4.45791
14,18:27:50,106.321,4.44913
15,18:27:55,106.315,4.44035
16,18:28:00,106.309,4.43157
17,18:28:05,106.303,4.42279
18,18:28:10,106.297,4.41401
19,18:28:15,106.291,4.40523
20,18:28:20,106.285,4.39646
21,18:28:25,106.28,4.38768
22,18:28:30,106.274,4.3789
23,18:28:35,106.268,4.37012
24,18:28:40,106.262,4.36134
25,18:28:45,106.256,4.35256
26,18:28:50,106.25,4.34378
27,18:28:55,106.244,4.335
28,18:29:00,106.238,4.32622
29,18:29:05,106.233,4.31744
30,18:29:10,106.228,4.30803
31,18:29:15,106.224,4.2981
32,18:29:20,106.222,4.28782
33,18:29:25,106.221,4.27733
34,18:29:30,106.221,4.26679
35,18:29:35,106.222,4.25628
36,18:29:40,106.223,4.2458
37,18:29:45,106.224,4.23534
38,18:29:50,106.226,4.22491
39,18:29:55,106.228,4.21449
40,18:30:00,106.229,4.20408
41,18:30:05,106.231,4.19368
42,18:30:10,106.233,4.18331
43,18:30:15,106.235,4.17294
44,18:30:20,106.237,4.16257
45,18:30:25,106.239,4.15221
46,18:30:30,106.241,4.14184
47,18:30:35,106.243,4.13147
48,18:30:40,106.245,4.1211
49,18:30:45,106.247,4.11073
50,18:30:50,106.249,4.10036
51,18:30:55,106.251,4.08999
52,18:31:00,106.252,4.07963
53,18:31:05,106.254,4.06926
54,18:31:10,106.256,4.05889
55,18:31:15,106.258,4.04852
56,18:31:20,106.26,4.03815
57,18:31:25,106.262,4.02778
58,18:31:30,106.264,4.01741
59,18:31:35,106.266,4.00704
60,18:31:40,106.268,3.99668
61,18:31:45,106.27,3.98631
62,18:31:50,106.272,3.97594
63,18:31:55,106.274,3.96557
64,18:32:00,106.276,3.9552
65,18:32:05,106.278,3.94483
66,18:32:10,106.28,3.93446
67,18:32:15,106.282,3.9241
68,18:32:20,106.283,3.91373
69,18:32:25,106.285,3.90336
70,18:32:30,106.287,3.89299
71,18:32:35,106.289,3.88262
72,18:32:40,106.291,3.87225
73,18:32:45,106.293,3.86188
74,18:32:50,106.295,3.85151
75,18:32:55,106.297,3.84115
76,18:33:00,106.299,3.83078
77,18:33:05,106.301,3.82041
78,18:33:10,106.303,3.81004
79,18:33:15,106.305,3.79967
80,18:33:20,106.307,3.7893
81,18:33:25,106.309,3.77893
82,18:33:30,106.311,3.76857
83,18:33:35,106.313,3.7582
84,18:33:40,106.315,3.74783
85,18:33:45,106.316,3.73746
86,18:33:50,106.318,3.72709
87,18:33:55,106.32,3.71672
88,18:34:00,106.322,3.70635
89,18:34:05,106.324,3.69598
90,18:34:10,106.326,3.68562
91,18:34:15,106.328,3.67525
92,18:34:20,106.33,3.66488
93,18:34:25,106.332,3.65451
94,18:34:30,106.334,3.64414
95,18:34:35,106.336,3.63377
96,18:34:40,106.338,3.6234
97,18:34:45,106.34,3.61304
98,18:34:50,106.342,3.60267
99,18:34:55,106.344,3.5923
100,18:35:00,106.346,3.58193
101,18:35:05,106.348,3.57157
102,18:35:10,106.349,3.5612
103,18:35:15,106.351,3.55083
104,18:35:20,106.353,3.54047
105,18:35:25,106.355,3.5301
106,18:35:30,106.357,3.51973
107,18:35:35,106.359,3.50935
108,18:35:40,106.361,3.49898
