,time,longitude,latitude
0,16:48:00,106.403,4.57203
1,16:48:05,106.397,4.56325
2,16:48:10,106.391,4.55448
3,16:48:15,106.385,4.5457
4,16:48:20,106.379,4.53692
5,16:48:25,106.373,4.52814
6,16:48:30,106.368,4.51936
7,16:48:35,106.362,4.51058
8,16:48:40,106.356,4.5018
9,16:48:45,106.35,4.49302
10,16:48:50,106.344,4.48424
11,16:48:55,106.338,4.47547
12,16:49:00,106.332,4.46669
13,16:49:05,106.326,4.45791
14,16:49:10,106.321,4.44913
15,16:49:15,106.315,4.44035
16,16:49:20,106.309,4.43157
17,16:49:25,106.303,4.42279
18,16:49:30,106.297,4.41401
19,16:49:35,106.291,4.40523
20,16:49:40,106.285,4.39646
21,16:49:45,106.28,4.38768
22,16:49:50,106.274,4.3789
23,16:49:55,106.268,4.37012
24,16:50:00,106.262,4.36134
25,16:50:05,106.256,4.35256
26,16:50:10,106.25,4.34378
27,16:50:15,106.244,4.335
28,16:50:20,106.238,4.32622
29,16:50:25,106.233,4.31744
30,16:50:30,106.228,4.30803
31,16:50:35,106.224,4.2981
32,16:50:40,106.222,4.28782
33,16:50:45,106.221,4.27733
34,16:50:50,106.221,4.26679
35,16:50:55,106.222,4.25628
36,16:51:00,106.223,4.2458
37,16:51:05,106.224,4.23534
38,16:51:10,106.226,4.22491
39,16:51:15,106.228,4.21449
40,16:51:20,106.229,4.20408
41,16:51:25,106.231,4.19368
42,16:51:30,106.233,4.18331
43,16:51:35,106.235,4.17294
44,16:51:40,106.237,4.16257
45,16:51:45,106.239,4.15221
46,16:51:50,106.241,4.14184
47,16:51:55,106.243,4.13147
48,16:52:00,106.245,4.1211
49,16:52:05,106.247,4.11073
50,16:52:10,106.249,4.10036
51,16:52:15,106.251,4.08999
52,16:52:20,106.252,4.07963
53,16:52:25,106.254,4.06926
54,16:52:30,106.256,4.05889
55,16:52:35,106.258,4.04852
56,16:52:40,106.26,4.03815
57,16:52:45,106.262,4.02778
58,16:52:50,106.264,4.01741
59,16:52:55,106.266,4.00704
60,16:53:00,106.268,3.99668
61,16:53:05,106.27,3.98631
62,16:53:10,106.272,3.97594
63,16:53:15,106.274,3.96557
64,16:53:20,106.276,3.9552
65,16:53:25,106.278,3.94483
66,16:53:30,106.28,3.93446
67,16:53:35,106.282,3.9241
68,16:53:40,106.283,3.91373
69,16:53:45,106.285,3.90336
70,16:53:50,106.287,3.89299
71,16:53:55,106.289,3.88262
72,16:54:00,106.291,3.87225
73,16:54:05,106.293,3.86188
74,16:54:10,106.295,3.85151
75,16:54:15,106.297,3.84115
76,16:54:20,106.299,3.83078
77,16:54:25,106.301,3.82041
78,16:54:30,106.303,3.81004
79,16:54:35,106.305,3.79967
80,16:54:40,106.307,3.7893
81,16:54:45,106.309,3.77893
82,16:54:50,106.311,3.76857
83,16:54:55,106.313,3.7582
84,16:55:00,106.315,3.74783
85,16:55:05,106.316,3.73746
86,16:55:10,106.318,3.72709
87,16:55:15,106.32,3.71672
88,16:55:20,106.322,3.70635
89,16:55:25,106.324,3.69598
90,16:55:30,106.326,3.68562
91,16:55:35,106.328,3.67525
92,16:55:40,106.33,3.66488
93,16:55:45,106.332,3.65451
94,16:55:50,106.334,3.64414
95,16:55:55,106.336,3.63377
96,16:56:00,106.338,3.6234
97,16:56:05,106.34,3.61304
98,16:56:10,106.342,3.60267
99,16:56:15,106.344,3.5923
100,16:56:20,106.346,3.58193
101,16:56:25,106.348,3.57157
102,16:56:30,106.349,3.5612
103,16:56:35,106.351,3.55083
104,16:56:40,106.353,3.54047
105,16:56:45,106.355,3.5301
106,16:56:50,106.357,3.51973
107,16:56:55,106.359,3.50935
108,16:57:00,106.361,3.49898
109,16:57:05,106.363,3.48861
110,16:57:10,106.365,3.47823
111,16:57:15,106.367,3.46786
112,16:57:20,106.369,3.45749
113,16:57:25,106.371,3.44711
114,16:57:30,106.373,3.43674
115,16:57:35,106.374,3.42637
116,16:57:40,106.376,3.41599
117,16:57:45,106.378,3.40562
118,16:57:50,106.38,3.39525
119,16:57:55,106.382,3.38487
120,16:58:00,106.384,3.3745
