,time,longitude,latitude
0,18:19:30,106.403,4.57262
1,18:19:35,106.397,4.56384
2,18:19:40,106.391,4.55506
3,18:19:45,106.385,4.54627
4,18:19:50,106.379,4.53749
5,18:19:55,106.373,4.52871
6,18:20:00,106.368,4.51992
7,18:20:05,106.362,4.51114
8,18:20:10,106.356,4.50235
9,18:20:15,106.35,4.49357
10,18:20:20,106.344,4.48478
11,18:20:25,106.338,4.476
12,18:20:30,106.332,4.46721
13,18:20:35,106.327,4.45843
14,18:20:40,106.321,4.44964
15,18:20:45,106.315,4.44086
16,18:20:50,106.309,4.43208
17,18:20:55,106.303,4.42329
18,18:21:00,106.297,4.41451
19,18:21:05,106.291,4.40572
20,18:21:10,106.286,4.39694
21,18:21:15,106.28,4.38815
22,18:21:20,106.274,4.37937
23,18:21:25,106.268,4.37058
24,18:21:30,106.262,4.3618
25,18:21:35,106.256,4.35302
26,18:21:40,106.25,4.34423
27,18:21:45,106.245,4.33545
28,18:21:50,106.239,4.32666
29,18:21:55,106.233,4.31788
30,18:22:00,106.228,4.30845
31,18:22:05,106.225,4.29853
32,18:22:10,106.222,4.28824
33,18:22:15,106.221,4.27775
34,18:22:20,106.221,4.26721
35,18:22:25,106.222,4.25669
36,18:22:30,106.223,4.2462
37,18:22:35,106.225,4.23574
38,18:22:40,106.226,4.2253
39,18:22:45,106.228,4.21487
40,18:22:50,106.229,4.20446
41,18:22:55,106.231,4.19405
42,18:23:00,106.233,4.18369
43,18:23:05,106.235,4.17332
44,18:23:10,106.237,4.16295
45,18:23:15,106.239,4.15258
46,18:23:20,106.241,4.14221
47,18:23:25,106.243,4.13184
48,18:23:30,106.245,4.12147
49,18:23:35,106.247,4.1111
50,18:23:40,106.249,4.10073
51,18:23:45,106.251,4.09036
52,18:23:50,106.252,4.08
53,18:23:55,106.254,4.06963
54,18:24:00,106.256,4.05926
55,18:24:05,106.258,4.04889
56,18:24:10,106.26,4.03852
57,18:24:15,106.262,4.02815
58,18:24:20,106.264,4.01778
59,18:24:25,106.266,4.00741
60,18:24:30,106.268,3.99704
61,18:24:35,106.27,3.98667
62,18:24:40,106.272,3.97631
63,18:24:45,106.274,3.96594
64,18:24:50,106.276,3.95557
65,18:24:55,106.278,3.9452
66,18:25:00,106.28,3.93483
67,18:25:05,106.282,3.92446
68,18:25:10,106.284,3.91409
69,18:25:15,106.285,3.90372
70,18:25:20,106.287,3.89335
71,18:25:25,106.289,3.88298
72,18:25:30,106.291,3.87261
73,18:25:35,106.293,3.86225
74,18:25:40,106.295,3.85188
75,18:25:45,106.297,3.84151
76,18:25:50,106.299,3.83114
77,18:25:55,106.301,3.82077
78,18:26:00,106.303,3.8104
79,18:26:05,106.305,3.80003
80,18:26:10,106.307,3.78966
81,18:26:15,106.309,3.77929
82,18:26:20,106.311,3.76892
83,18:26:25,106.313,3.75855
84,18:26:30,106.315,3.74819
85,18:26:35,106.316,3.73782
86,18:26:40,106.318,3.72745
87,18:26:45,106.32,3.71708
88,18:26:50,106.322,3.70671
89,18:26:55,106.324,3.69634
90,18:27:00,106.326,3.68597
91,18:27:05,106.328,3.6756
92,18:27:10,106.33,3.66523
93,18:27:15,106.332,3.65486
94,18:27:20,106.334,3.64449
95,18:27:25,106.336,3.63413
96,18:27:30,106.338,3.62376
97,18:27:35,106.34,3.61339
98,18:27:40,106.342,3.60302
99,18:27:45,106.344,3.59265
100,18:27:50,106.346,3.58228
101,18:27:55,106.348,3.57191
102,18:28:00,106.349,3.56154
103,18:28:05,106.351,3.55117
104,18:28:10,106.353,3.5408
105,18:28:15,106.355,3.53043
106,18:28:20,106.357,3.52006
107,18:28:25,106.359,3.50969
108,18:28:30,106.361,3.49931
109,18:28:35,106.363,3.48894
110,18:28:40,106.365,3.47857
111,18:28:45,106.367,3.46819
112,18:28:50,106.369,3.45782
113,18:28:55,106.371,3.44744
114,18:29:00,106.372,3.43707
115,18:29:05,106.374,3.4267
116,18:29:10,106.376,3.41632
117,18:29:15,106.378,3.40595
118,18:29:20,106.38,3.39558
119,18:29:25,106.382,3.3852
120,18:29:30,106.384,3.37483
121,18:29:35,106.386,3.36445
122,18:29:40,106.388,3.35408
123,18:29:45,106.39,3.34371
124,18:29:50,106.392,3.33335
125,18:29:55,106.394,3.32298
126,18:30:00,106.396,3.31261
127,18:30:05,106.398,3.30225
128,18:30:10,106.399,3.29188
129,18:30:15,106.401,3.28152
130,18:30:20,106.403,3.27115
131,18:30:25,106.405,3.26078
132,18:30:30,106.407,3.25042
133,18:30:35,106.409,3.24005
134,18:30:40,106.411,3.22969
135,18:30:45,106.413,3.21932
136,18:30:50,106.415,3.20895
137,18:30:55,106.417,3.19859
138,18:31:00,106.419,3.18822
139,18:31:05,106.421,3.17786
140,18:31:10,106.423,3.16749
141,18:31:15,106.425,3.15712
142,18:31:20,106.427,3.14676
143,18:31:25,106.429,3.13639
144,18:31:30,106.431,3.12602
145,18:31:35,106.433,3.11566
146,18:31:40,106.435,3.10529
147,18:31:45,106.437,3.09493
148,18:31:50,106.439,3.08456
149,18:31:55,106.441,3.07419
150,18:32:00,106.442,3.06383
151,18:32:05,106.444,3.05346
152,18:32:10,106.446,3.0431
153,18:32:15,106.448,3.03273
154,18:32:20,106.45,3.02236
155,18:32:25,106.452,3.012
156,18:32:30,106.454,3.00163
157,18:32:35,106.456,2.99127
158,18:32:40,106.458,2.9809
159,18:32:45,106.46,2.97054
160,18:32:50,106.462,2.96017
161,18:32:55,106.464,2.94981
162,18:33:00,106.466,2.93944
163,18:33:05,106.468,2.92908
164,18:33:10,106.47,2.91872
165,18:33:15,106.472,2.90835
166,18:33:20,106.474,2.89799
167,18:33:25,106.476,2.88762
168,18:33:30,106.478,2.87726
169,18:33:35,106.48,2.86689
170,18:33:40,106.482,2.85653
171,18:33:45,106.484,2.84616
172,18:33:50,106.486,2.83579
173,18:33:55,106.488,2.82543
174,18:34:00,106.489,2.81506
175,18:34:05,106.491,2.8047
176,18:34:10,106.493,2.79433
177,18:34:15,106.495,2.78397
178,18:34:20,106.497,2.7736
179,18:34:25,106.499,2.76324
180,18:34:30,106.501,2.75287
181,18:34:35,106.503,2.74251
182,18:34:40,106.505,2.73214
183,18:34:45,106.507,2.72178
184,18:34:50,106.509,2.71141
185,18:34:55,106.511,2.70105
186,18:35:00,106.513,2.69068
187,18:35:05,106.515,2.68032
188,18:35:10,106.517,2.66995
189,18:35:15,106.519,2.65959
190,18:35:20,106.521,2.64922
191,18:35:25,106.523,2.63886
192,18:35:30,106.525,2.62849
193,18:35:35,106.527,2.61812
194,18:35:40,106.529,2.60776
195,18:35:45,106.531,2.59739
196,18:35:50,106.533,2.58703
197,18:35:55,106.534,2.57666
198,18:36:00,106.536,2.5663
199,18:36:05,106.538,2.55593
200,18:36:10,106.54,2.54557
201,18:36:15,106.542,2.5352
