,time,longitude,latitude
0,17:09:20,106.403,4.57203
1,17:09:25,106.397,4.56325
2,17:09:30,106.391,4.55448
3,17:09:35,106.385,4.5457
4,17:09:40,106.379,4.53692
5,17:09:45,106.373,4.52814
6,17:09:50,106.368,4.51936
7,17:09:55,106.362,4.51058
8,17:10:00,106.356,4.5018
9,17:10:05,106.35,4.49302
10,17:10:10,106.344,4.48424
11,17:10:15,106.338,4.47547
12,17:10:20,106.332,4.46669
13,17:10:25,106.326,4.45791
14,17:10:30,106.321,4.44913
15,17:10:35,106.315,4.44035
16,17:10:40,106.309,4.43157
17,17:10:45,106.303,4.42279
18,17:10:50,106.297,4.41401
19,17:10:55,106.291,4.40523
20,17:11:00,106.285,4.39646
21,17:11:05,106.28,4.38768
22,17:11:10,106.274,4.3789
23,17:11:15,106.268,4.37012
24,17:11:20,106.262,4.36134
25,17:11:25,106.256,4.35256
26,17:11:30,106.25,4.34378
27,17:11:35,106.244,4.335
28,17:11:40,106.238,4.32622
29,17:11:45,106.233,4.31744
30,17:11:50,106.227,4.30867
31,17:11:55,106.221,4.29989
32,17:12:00,106.214,4.29188
33,17:12:05,106.206,4.2847
34,17:12:10,106.198,4.27778
35,17:12:15,106.19,4.27095
36,17:12:20,106.182,4.26428
37,17:12:25,106.174,4.25761
38,17:12:30,106.166,4.25094
39,17:12:35,106.157,4.24427
40,17:12:40,106.149,4.2376
41,17:12:45,106.141,4.23092
42,17:12:50,106.133,4.22425
43,17:12:55,106.125,4.21758
44,17:13:00,106.116,4.21091
45,17:13:05,106.108,4.20423
46,17:13:10,106.1,4.19756
47,17:13:15,106.092,4.19089
48,17:13:20,106.084,4.18422
49,17:13:25,106.075,4.17755
50,17:13:30,106.067,4.17087
51,17:13:35,106.059,4.1642
52,17:13:40,106.051,4.15753
53,17:13:45,106.043,4.15086
54,17:13:50,106.035,4.14418
55,17:13:55,106.026,4.13751
56,17:14:00,106.018,4.13084
57,17:14:05,106.01,4.12417
58,17:14:10,106.002,4.1175
59,17:14:15,105.994,4.11082
60,17:14:20,105.985,4.10415
61,17:14:25,105.977,4.09748
62,17:14:30,105.969,4.09081
63,17:14:35,105.961,4.08413
64,17:14:40,105.953,4.07746
65,17:14:45,105.944,4.07079
66,17:14:50,105.936,4.06412
67,17:14:55,105.928,4.05745
68,17:15:00,105.92,4.05077
69,17:15:05,105.912,4.0441
70,17:15:10,105.904,4.03743
71,17:15:15,105.895,4.03179
72,17:15:20,105.885,4.02726
73,17:15:25,105.875,4.02366
74,17:15:30,105.865,4.02005
75,17:15:35,105.855,4.01644
76,17:15:40,105.845,4.01283
77,17:15:45,105.835,4.00923
78,17:15:50,105.825,4.00562
79,17:15:55,105.815,4.00201
80,17:16:00,105.806,3.9984
81,17:16:05,105.796,3.9948
82,17:16:10,105.786,3.99119
83,17:16:15,105.776,3.98758
84,17:16:20,105.766,3.98397
85,17:16:25,105.756,3.98037
86,17:16:30,105.746,3.97676
87,17:16:35,105.736,3.97315
88,17:16:40,105.726,3.96954
89,17:16:45,105.716,3.96593
90,17:16:50,105.706,3.96233
91,17:16:55,105.696,3.95872
92,17:17:00,105.686,3.95511
93,17:17:05,105.676,3.9515
94,17:17:10,105.666,3.9479
95,17:17:15,105.656,3.94429
96,17:17:20,105.647,3.94068
97,17:17:25,105.637,3.93707
98,17:17:30,105.627,3.93347
99,17:17:35,105.617,3.92986
100,17:17:40,105.607,3.92625
101,17:17:45,105.597,3.92264
102,17:17:50,105.587,3.91904
103,17:17:55,105.577,3.91543
104,17:18:00,105.567,3.91182
105,17:18:05,105.558,3.90704
106,17:18:10,105.549,3.90117
107,17:18:15,105.541,3.89428
108,17:18:20,105.533,3.88688
109,17:18:25,105.526,3.87947
110,17:18:30,105.518,3.87206
111,17:18:35,105.511,3.86465
112,17:18:40,105.503,3.85724
113,17:18:45,105.496,3.84984
114,17:18:50,105.488,3.84243
115,17:18:55,105.481,3.83502
116,17:19:00,105.473,3.82761
117,17:19:05,105.466,3.8202
118,17:19:10,105.458,3.81279
119,17:19:15,105.45,3.80539
120,17:19:20,105.443,3.79798
121,17:19:25,105.435,3.79057
122,17:19:30,105.428,3.78316
123,17:19:35,105.42,3.77575
124,17:19:40,105.413,3.76834
125,17:19:45,105.405,3.76092
126,17:19:50,105.398,3.75351
127,17:19:55,105.39,3.7461
128,17:20:00,105.383,3.73868
129,17:20:05,105.375,3.73127
130,17:20:10,105.368,3.72385
131,17:20:15,105.36,3.71644
132,17:20:20,105.353,3.70902
133,17:20:25,105.345,3.70161
134,17:20:30,105.338,3.69419
135,17:20:35,105.33,3.68678
136,17:20:40,105.323,3.67936
137,17:20:45,105.315,3.67195
138,17:20:50,105.308,3.66453
139,17:20:55,105.3,3.65712
140,17:21:00,105.293,3.64971
141,17:21:05,105.285,3.64229
142,17:21:10,105.277,3.63488
143,17:21:15,105.27,3.62746
144,17:21:20,105.262,3.62005
145,17:21:25,105.255,3.61263
146,17:21:30,105.247,3.60522
147,17:21:35,105.24,3.5978
148,17:21:40,105.232,3.59039
149,17:21:45,105.225,3.58297
150,17:21:50,105.217,3.57556
151,17:21:55,105.21,3.56814
152,17:22:00,105.202,3.56073
153,17:22:05,105.195,3.55331
154,17:22:10,105.187,3.5459
155,17:22:15,105.18,3.53849
156,17:22:20,105.172,3.53107
157,17:22:25,105.165,3.52366
158,17:22:30,105.157,3.51624
159,17:22:35,105.15,3.50883
160,17:22:40,105.142,3.50141
161,17:22:45,105.135,3.494
162,17:22:50,105.127,3.48658
163,17:22:55,105.12,3.47917
164,17:23:00,105.112,3.47175
165,17:23:05,105.105,3.46434
166,17:23:10,105.097,3.45692
167,17:23:15,105.09,3.44951
168,17:23:20,105.082,3.44209
169,17:23:25,105.075,3.43468
170,17:23:30,105.067,3.42726
171,17:23:35,105.06,3.41985
172,17:23:40,105.052,3.41243
173,17:23:45,105.045,3.40502
174,17:23:50,105.037,3.3976
175,17:23:55,105.029,3.39019
176,17:24:00,105.022,3.38277
177,17:24:05,105.014,3.37536
178,17:24:10,105.007,3.36794
179,17:24:15,104.999,3.36053
180,17:24:20,104.992,3.35312
181,17:24:25,104.984,3.3457
182,17:24:30,104.977,3.33829
183,17:24:35,104.969,3.33087
184,17:24:40,104.962,3.32346
185,17:24:45,104.954,3.31604
186,17:24:50,104.947,3.30863
187,17:24:55,104.939,3.30121
188,17:25:00,104.932,3.2938
189,17:25:05,104.924,3.28638
190,17:25:10,104.917,3.27897
191,17:25:15,104.909,3.27155
192,17:25:20,104.902,3.26414
193,17:25:25,104.894,3.25672
194,17:25:30,104.887,3.2493
195,17:25:35,104.879,3.24188
196,17:25:40,104.872,3.23446
197,17:25:45,104.864,3.22704
198,17:25:50,104.857,3.21962
199,17:25:55,104.849,3.21219
200,17:26:00,104.842,3.20477
