,time,longitude,latitude
0,14:07:35,107.306,3.72198
1,14:07:40,107.296,3.71785
2,14:07:45,107.286,3.71373
3,14:07:50,107.277,3.7096
4,14:07:55,107.267,3.70548
5,14:08:00,107.257,3.70136
6,14:08:05,107.248,3.69723
7,14:08:10,107.238,3.69311
8,14:08:15,107.228,3.68898
9,14:08:20,107.218,3.68486
10,14:08:25,107.209,3.68073
11,14:08:30,107.199,3.67661
12,14:08:35,107.189,3.67249
13,14:08:40,107.179,3.66836
14,14:08:45,107.17,3.66424
15,14:08:50,107.16,3.66011
16,14:08:55,107.15,3.65599
17,14:09:00,107.141,3.65187
18,14:09:05,107.131,3.64774
19,14:09:10,107.121,3.64362
20,14:09:15,107.111,3.63949
21,14:09:20,107.102,3.63537
22,14:09:25,107.092,3.63124
23,14:09:30,107.082,3.62712
24,14:09:35,107.072,3.623
25,14:09:40,107.063,3.61887
26,14:09:45,107.053,3.61475
27,14:09:50,107.043,3.61062
28,14:09:55,107.034,3.6065
29,14:10:00,107.024,3.60238
30,14:10:05,107.014,3.59825
31,14:10:10,107.004,3.59413
32,14:10:15,106.995,3.59
33,14:10:20,106.985,3.58588
34,14:10:25,106.975,3.58175
35,14:10:30,106.965,3.57763
36,14:10:35,106.956,3.57351
37,14:10:40,106.946,3.56938
38,14:10:45,106.936,3.56526
39,14:10:50,106.926,3.56233
40,14:10:55,106.916,3.56065
41,14:11:00,106.905,3.55988
42,14:11:05,106.895,3.55934
43,14:11:10,106.884,3.5588
44,14:11:15,106.873,3.55826
45,14:11:20,106.863,3.55773
46,14:11:25,106.852,3.55719
47,14:11:30,106.842,3.55665
48,14:11:35,106.831,3.55612
49,14:11:40,106.821,3.55558
50,14:11:45,106.81,3.55504
51,14:11:50,106.8,3.55451
52,14:11:55,106.789,3.55397
53,14:12:00,106.779,3.55343
54,14:12:05,106.768,3.5529
55,14:12:10,106.757,3.55236
56,14:12:15,106.747,3.55183
57,14:12:20,106.736,3.55129
58,14:12:25,106.726,3.55075
59,14:12:30,106.715,3.55022
60,14:12:35,106.705,3.54968
61,14:12:40,106.694,3.54914
62,14:12:45,106.684,3.54861
63,14:12:50,106.673,3.54807
64,14:12:55,106.662,3.54753
65,14:13:00,106.652,3.547
66,14:13:05,106.641,3.54646
67,14:13:10,106.631,3.54592
68,14:13:15,106.62,3.54539
69,14:13:20,106.61,3.54485
70,14:13:25,106.599,3.54431
71,14:13:30,106.589,3.54378
72,14:13:35,106.578,3.54324
73,14:13:40,106.567,3.5427
74,14:13:45,106.557,3.54217
75,14:13:50,106.546,3.54163
76,14:13:55,106.536,3.54109
77,14:14:00,106.525,3.54056
78,14:14:05,106.515,3.54002
79,14:14:10,106.504,3.53948
80,14:14:15,106.494,3.53895
81,14:14:20,106.483,3.53841
82,14:14:25,106.472,3.53787
83,14:14:30,106.462,3.53734
84,14:14:35,106.451,3.5368
85,14:14:40,106.441,3.53626
86,14:14:45,106.43,3.53573
87,14:14:50,106.42,3.53519
88,14:14:55,106.409,3.53465
89,14:15:00,106.399,3.53412
90,14:15:05,106.388,3.53358
91,14:15:10,106.378,3.53304
92,14:15:15,106.367,3.53251
93,14:15:20,106.356,3.53197
94,14:15:25,106.346,3.53143
95,14:15:30,106.335,3.5309
96,14:15:35,106.325,3.53036
97,14:15:40,106.314,3.5311
98,14:15:45,106.304,3.5331
99,14:15:50,106.294,3.53633
100,14:15:55,106.284,3.54075
101,14:16:00,106.275,3.54602
102,14:16:05,106.266,3.55129
103,14:16:10,106.257,3.55657
104,14:16:15,106.248,3.56184
105,14:16:20,106.238,3.56712
106,14:16:25,106.229,3.57239
107,14:16:30,106.22,3.57766
108,14:16:35,106.211,3.58294
109,14:16:40,106.202,3.58821
110,14:16:45,106.193,3.59349
111,14:16:50,106.184,3.59876
112,14:16:55,106.174,3.60403
113,14:17:00,106.165,3.60931
114,14:17:05,106.156,3.61458
115,14:17:10,106.147,3.61986
116,14:17:15,106.138,3.62513
117,14:17:20,106.129,3.63041
118,14:17:25,106.119,3.63568
119,14:17:30,106.11,3.64095
120,14:17:35,106.101,3.64623
121,14:17:40,106.092,3.6515
122,14:17:45,106.083,3.65678
123,14:17:50,106.074,3.66205
124,14:17:55,106.065,3.66732
125,14:18:00,106.055,3.6726
126,14:18:05,106.046,3.67787
127,14:18:10,106.037,3.68315
128,14:18:15,106.028,3.68842
129,14:18:20,106.019,3.6937
130,14:18:25,106.01,3.69897
131,14:18:30,106.0,3.70424
132,14:18:35,105.991,3.70952
133,14:18:40,105.982,3.71479
134,14:18:45,105.973,3.72007
135,14:18:50,105.963,3.7242
136,14:18:55,105.953,3.72714
137,14:19:00,105.943,3.72883
138,14:19:05,105.932,3.72926
139,14:19:10,105.922,3.72841
140,14:19:15,105.911,3.72631
141,14:19:20,105.901,3.72417
142,14:19:25,105.891,3.72203
143,14:19:30,105.88,3.71989
144,14:19:35,105.87,3.71776
