row_index,scenario_name,gif_path,n_steps,total_reward,termination_reasons
0,170321set1_1_KL01.csv_1_3K00.csv,,28,-15.383486282008791,drift_away
1,170321set1_1_SQ20.csv_1_QR21.csv,,45,-19.229194337328508,drift_away
2,170321set1_1_QR31.csv_1_3K30.csv,,39,1.9412786152567358,arrived
3,170321set1_1_KL41.csv_1_TR40.csv,,29,5.773231912582497,arrived
4,170321set1_1_GA50.csv_1_3K51.csv,,43,-18.64752169204465,drift_away
5,170321set1_1_3K61.csv_1_QR60.csv,,14,-16.834087955189883,loss_of_separation
6,170321set1_1_TR71.csv_1_3K70.csv,,28,-15.405276184668406,drift_away
7,170321set1_1_QR80.csv_1_QR81.csv,,40,4.218136453885205,arrived
8,170321set1_1_PR91.csv_1_PR90.csv,,28,-15.333642092961401,drift_away
9,170321set1_1_QR101.csv_1_PR100.csv,,29,-15.847881253952178,drift_away
10,170321set1_1_SQ111.csv_1_QR110.csv,,28,-15.290571704418918,drift_away
11,170321set1_1_SQ120.csv_1_PR121.csv,,43,-18.680971667160094,drift_away
12,170321set1_1_GA131.csv_1_3K130.csv,,28,-15.385396827531375,drift_away
13,170321set1_1_PR141.csv_1_QR140.csv,,14,-16.822583461503395,loss_of_separation
14,170321set1_1_SQ151.csv_1_KL150.csv,,38,2.1605019608378315,arrived
15,170321set1_1_SQ161.csv_1_QR160.csv,,34,4.104220026551421,arrived
16,170321set1_1_TR170.csv_1_SQ171.csv,,15,-16.58782942140659,loss_of_separation
17,170321set1_1_QR181.csv_1_3K180.csv,,36,3.615919299093621,arrived
18,170321set1_1_TR191.csv_1_GA190.csv,,14,-16.997080762147274,loss_of_separation
19,170321set1_1_PR200.csv_1_3K201.csv,,41,3.9209203202003096,arrived
20,170321set1_1_PR210.csv_1_QR211.csv,,21,-28.41533928251966,drift_away
21,170321set1_1_SQ221.csv_1_SQ220.csv,,34,3.912396171919628,arrived
22,170321set1_1_GA231.csv_1_GA230.csv,,29,5.429630506656558,arrived
23,170321set1_1_TR241.csv_1_GA240.csv,,35,3.9398605712819457,arrived
24,170321set1_1_PR250.csv_1_KL251.csv,,41,4.200055460414144,arrived
25,170321set1_1_QR261.csv_1_GA260.csv,,29,5.032180153507121,arrived
26,170321set1_1_3K271.csv_1_GA270.csv,,37,2.777154609775592,arrived
27,170321set1_1_GA281.csv_1_3K280.csv,,35,4.015421876127101,arrived
28,170621set1_1_PR01.csv_1_3K00.csv,,30,4.845809629843653,arrived
29,170621set1_1_KL10.csv_1_TR11.csv,,43,-18.877113950436637,drift_away
30,170621set1_1_TR20.csv_1_SQ21.csv,,43,-18.692412567212155,drift_away
31,170621set1_1_GA30.csv_1_GA31.csv,,42,-18.647237820440388,drift_away
32,170621set1_1_SQ41.csv_1_GA40.csv,,38,2.163677402262704,arrived
33,170621set1_1_QR51.csv_1_GA50.csv,,29,5.282665317745349,arrived
34,170621set1_1_3K61.csv_1_PR60.csv,,29,5.345658609870584,arrived
35,170621set1_1_QR71.csv_1_GA70.csv,,29,5.622243728814684,arrived
36,170621set1_1_KL81.csv_1_KL80.csv,,29,4.841161297910541,arrived
37,170621set1_1_TR90.csv_1_SQ91.csv,,43,-18.846238806289733,drift_away
38,170621set1_1_3K101.csv_1_3K100.csv,,28,-15.173893616699313,drift_away
39,170621set1_1_3K111.csv_1_TR110.csv,,29,5.556657556335322,arrived
40,170621set1_1_SQ121.csv_1_3K120.csv,,29,5.15544317863993,arrived
41,170621set1_1_PR131.csv_1_TR130.csv,,23,-17.973753336556488,loss_of_separation
42,170621set1_1_SQ141.csv_1_SQ140.csv,,14,-16.79654379530535,loss_of_separation
43,170621set1_1_TR151.csv_1_SQ150.csv,,28,-15.577670646611477,drift_away
44,170621set1_1_3K161.csv_1_SQ160.csv,,35,3.86636024621564,arrived
45,170621set1_1_SQ170.csv_1_3K171.csv,,43,-18.784114685557718,drift_away
46,170621set1_1_KL181.csv_1_KL180.csv,,28,-15.52800907881388,drift_away
47,170621set1_1_TR191.csv_1_3K190.csv,,38,2.318843269502806,arrived
