step,dist_to_atco_path,path_heading_deg,heading_error_to_path_deg,signed_cross_track_to_path,own_heading_deg,bearing_error_to_intruder,heading_error_to_dest_deg,turn_deg
1,0.004955203290410671,-152.33860474568985,-0.41429614348407995,0.004955203290408459,-151.92430860220577,-81.78690087052127,-22.107099579127578,0
2,0.009910406580830085,-152.3386047456743,-0.4142961434685333,0.009910406580836102,-151.92430860220577,-85.94213370269568,-22.775865039174136,0
3,0.6665289482740431,-151.92430860221504,20.053522829569545,-0.666528948274048,-171.97783143178458,-69.82906573365472,-2.8094401620099063,-20
4,1.3521317635734351,-151.9339225615537,20.043908870230894,-1.3521317635734291,-171.97783143178458,-73.97885547699019,-2.9022905711688054,0
5,1.4219534002637277,-176.40137209065625,-4.423540658871673,-1.421953400263728,-171.97783143178458,-78.30840162206857,-3.001482247921871,0
6,1.269559828636126,-176.34440469750606,-4.366573265721485,-1.2695598286361274,-171.97783143178458,-79.42684518652271,-3.1076871193327804,0
7,0.7711302337362621,-176.34440469750606,-14.39333468051089,-0.7711302337362647,-161.95107001699517,-90.85692085112561,-13.611795926432308,10
8,0.2739758167601562,-176.34440469750606,-14.39333468051089,-0.2739758167601547,-161.95107001699517,-92.44486603697646,-14.124417363013208,0
9,0.22445377813972464,-176.34440469750606,-14.39333468051089,0.22445377813972306,-161.95107001699517,-94.25344707872381,-14.676280781877239,0
10,0.7216081951158168,-176.34440469750606,-14.39333468051089,0.721608195115818,-161.95107001699517,-95.49000218446326,-15.271956326385265,0
11,0.7003060136215218,-176.34440469750606,0.6468074416732179,0.7003060136215196,-176.99121213917928,-81.4363377065747,-0.24173350644954894,-15
12,0.9700324239303654,162.51557267677563,-20.493215184045084,0.9700324239303668,-176.99121213917928,-82.6003896266568,-0.2525396422309427,0
13,1.9759606441184576,144.271849004626,-38.73693885619468,1.9759606441184598,-176.99121213917928,-83.9981898108307,-0.2643571067393111,0
14,3.2273224794584423,144.28043145552175,-38.728356405298996,3.2273224794584414,-176.99121213917928,-85.63914917713419,-0.2773348413820145,0
15,3.6998943688495656,144.2804314555251,-13.661452868322158,3.69989436884957,-202.0581156761528,-61.48173516013776,26.023742740529087,-25
16,3.1633424479070817,-166.76898502491892,35.289130651233876,3.163342447907084,-202.0581156761528,-62.87339866120533,27.377331683247434,0
17,2.006423758274173,-166.56326242891168,35.49485324724111,2.006423758274179,-202.0581156761528,-65.22893676281558,28.866793080916324,0
18,0.8451641119196797,-166.56326242892155,35.49485324723125,0.8451641119196756,-202.0581156761528,-70.09503753339004,30.5113148971638,0
