ep,min_sep,min_ttcp,steps,return,safe
1,4.487556103043995,1.4077886821441206,13,-18.179313301980343,False
2,4.1217937075093944,0.9631199618077808,18,-15.450881878067435,False
3,4.909370759704485,1.2954065679345943,19,-16.638269760453984,False
4,4.249631750788458,0.0,17,-23.488439198539808,False
5,4.910605967478114,1.1441493516092434,19,-16.587439187885092,False
6,3.236343811612898,0.6152590797894979,12,-15.609167068202055,False
7,4.756081995282682,1.9631199618077817,21,-19.941564434875282,False
8,8.258953894185588,0.0,40,-44.59110968092278,True
9,7.83741666151235,0.0,29,3.840707814616837,True
10,5.124755330485011,0.0,43,-29.56659312103983,True
